"Compressive
strength tests","Elastic
modulus tests","Flexural
strength tests","Splitting
tensile strength tests","Effective
water- to-cement ratio","Aggregate-
to-cement ratio (a/c)","RCA
replacement ratio (RCA %)","Parent
concrete strength(MPa)","Nominal
maximum RCA size(mm)","Nominal
maximum NA size(mm)","Bulk
density of RCA (kg/m3)","Bulk
density of NA (kg/m3)","Water
absorption of RCA(WARCA) (%)","Water
absorption of NA","Los
Angeles abrasion of RCA","Los
Angeles abrasion of NA","Density of
hardened
concrete
AD (qad)
(kg/m3)","Density of
hardened
concrete
SSD (qSSD)
(kg/m3)","Compressive
strength (f’c) (MPa)"
S1,,,,0.35,3.29,100,,,,2214,2687,2.7,1.2,,,,,46
S1,C2,B2,,0.29,2.2,50,,20,30,2400,2610,4.9,2.5,,,,,70.8
C1,,,,0.41,,50,,,,2460,2670,5.1,0.5,,,,,37.6
S1,,,,0.41,1.7,45,,20,20,2400,2600,3.5,0.7,,,2363,,50
S1,,,,0.58,3.2,100,,32,16,2720,,4.8,,,,,,40.7
C2,C2,,C2,0.36,2.4,0,,16,25,2780,,,,,,2390,,58.3
C1,,,,0.5,2.3,100,,25,20,,,,,,,,,36.2
,,,,,,,,,,,,,,,,,,
C1,C1,,C1,0.4,2.7,25,,,,2240,2520,5.71,3.15,,,,,43.5
S2,,,C1,0.66,3.9,100,,30,32,,,,,,,,,26.1
C2,,,,0.45,2.5,100,,19,25,2500,2740,3.3,,,,,2348,45.9
C2,C2,,C2,0.36,2.4,0,,16,20,2270,,,,,,2380,,57.9
S2,,,,0.52,2.9,0,,22,20,,,,,,,,,48
S2,,,C1,0.66,3.9,100,,30,32,,,,,,,,,25.1
S1,,,,0.41,1.7,15,,20,20,2390,2600,3.7,0.7,,,2379,,54.4
S1,C2,,C2,0.4,3,0,,22,20,,2665,,1,,,,,72.3
C1,,,,0.45,2.3,100,,19,25,2490,,4.8,,37,,,,41
C1,C1,,C1,0.4,2.7,100,,,,2400,2570,4.34,2.61,,,,,42.5
C2,C2,,,0.55,3.8,0,,20,22,,2510,,1.4,,,,,21
S2,,,C1,0.48,2.7,100,,30,30,,,,,,,,,35.3
S2,,,C1,0.66,3.9,100,,30,32,,,,,,,,,25
C1,,,,0.46,,0,,,,2460,2670,5.1,0.5,,,,,35.8
C1,,,,0.45,2.3,0,,19,25,,2730,,0.45,,23,,,44.4
C2,C2,B2,,0.5,2.7,0,,16,20,,2680,,1.9,,,2188,2370,50.2
S1,,,,0.41,1.7,30,,20,20,2390,2600,3.6,0.7,,,2374,,53.5
S2,C1,B1,C1,0.47,3.3,0,,32,22,,2788,,0.3,,,,,31.2
C1,C1,B1,C2,0.47,,100,,12,12,2560,2860,6.1,2,,,,2199,40.3
C1,,,,0.52,3.6,0,,32,20,,2389,,,,,,,41.8
C1,C1,,C1,0.6,3.6,0,,19,19,,2730,,0.5,,23,,2410,47.8
S2,C1,B1,C1,0.35,3.1,100,,32,32,2512,,6.3,,,,,,24.6
S1,C2,B1,C2,0.5,3.5,20,,20,20,2400,2870,,,,,,2559,27.2
C2,C2,,C2,0.5,3.2,50,,8,20,2280,,4.1,,,,,2038,29.1
S2,C1,B1,C1,0.36,3.1,70,,32,22,2449,2788,6,0.3,,,,,28.4
C1,C1,B1,,0.59,4.2,100,,25,25,2260,,7.5,,,,,,13.4
C2,,,,0.65,3.1,0,,20,19,,2500,,1.7,,32,,2370,40.5
C2,C2,,C2,0.53,2.5,20,,20,19,2320,2540,5.3,1.8,42,31,,,44
C1,,B1,C1,0.24,4.5,60,,,,2530,2700,4.6,0.5,43.3,30.2,,,15.1
C2,C2,,C2,0.51,3.1,0,,20,20,,2540,,1.8,,31,,,46.5
C2,C2,B2,,0.44,5.8,60,,32,15,2584,2650,1.6,0.2,,,,,54.4
C1,C1,B1,,0.43,3.1,100,,25,25,2260,,7.5,,,,,,23.3
C1,C1,,C1,0.4,2.8,100,,20,20,2580,,3.5,,,,,,58.5
C1,C1,B1,C2,0.55,,0,,12,12,2560,2860,6.1,2,,,,2347,40.9
S2,C2,,C2,0.54,3.8,50,37.3,12,20,2010,2720,10.9,0.6,,,2349,,37.6
C1,C1,,,0.34,2.1,0,,30,19,,2700,,0.5,,28,,,48.4
C1,C1,,C1,0.52,1.8,100,,19,19,2320,,5.3,,37,,,2370,50.3
S1,C2,B2,,0.39,2.6,100,,20,30,2400,,4.9,,,,,,60.2
S2,,,C1,0.6,4.5,75,,19,20,,,,,,,,,21.4
,,,,,,,,,,,,,,,,,,
C2,C2,,,0.42,2.9,100,,20,22,2340,,5.3,,,,,,34
S2,,,C1,0.32,5.75,25,,,,2540,2720,5.07,1.48,,,,,16.5
S2,C2,,C2,0.44,3.5,30,,20,25,2165,2564,6.8,0.8,,,,,61.3
C1,C1,B1,C2,0.53,,0,,7,7,2450,2680,4.08,1.96,,,,2287,40.1
S2,C2,,C2,0.54,5.2,25,,,,2445,2670,4.2,1.1,,,,,51.09
,,,,,,,,,,,,,,,,,,
S2,C1,B1,C1,0.29,2.7,100,100,10,10,2470,,3.7,,24,,2430,,108.5
S1,C1,,,0.47,2.9,30,,32,32,,,,,,,,,31.9
S2,B2,,,0.31,2.87,100,,,,2629,2880,7.16,0.5,,,,,60.2
C2,C2,,,0.5,3.5,0,,20,22,,2510,,1.4,,,,,31
C1,C1,B2,C1,0.49,2.1,25,,19,10,2500,2810,6.6,0.4,,,,,32.6
C1,C1,,C1,0.4,2.7,0,,,,,2520,,3.15,,,,,39.1
S1,C2,B1,C2,0.5,4.5,60,,20,20,2630,2870,,,,,,2558,23.5
S2,,,,0.45,2.9,100,,15,20,2450,,5.6,,,,,,52.8
C2,C2,B2,,0.5,2.4,100,,16,20,2380,,6.9,,,,1998,2240,50.3
S1,C1,,C1,0.55,2.5,50,,20,32,2570,2620,3.5,1.1,,,,,42.5
C1,C1,,C1,0.55,2.5,50,,20,20,2580,2620,3.5,1.1,,,,,42.5
S2,C2,B2,,0.54,3.1,100,,22,20,,,,,,,,,20.5
C1,C1,B2,C1,0.5,2.8,100,,25,32,2530,,1.9,,,,,,36
C2,C2,,C2,0.5,2.1,100,,16,20,2400,,5,,34,,,2270,40.5
C2,,,,0.45,3.1,64,,19,25,2500,2740,3.3,0.9,,,,2364,44.8
S2,B2,,,0.31,2.87,75,,,,2629,2880,7.16,0.5,,,,,61
C1,C1,B1,,0.34,2.4,100,,25,38,2260,,7.5,,,,,,31.3
C2,C2,,,0.47,3.2,50,,20,22,2340,2510,5.3,1.4,,,,,29
S1,C1,,,0.43,3,0,,32,25,,,,,,,,,34.8
S1,,,,0.49,2.5,20,,20,20,2570,2620,3.5,1.1,,,,,45.3
,,,,,,,,,,,,,,,,,,
C2,C2,,,0.54,3,50,41.4,20,22,2451,2581,7.3,1.2,40,24.8,,,48.1
C1,C1,,C1,0.4,2.8,50,,20,20,2580,2620,3.5,1.1,,,,,65.3
S1,,,,0.41,1.7,60,,20,20,2390,2600,3.6,0.7,,,2345,,54.7
C1,C1,B2,C1,0.19,1.5,100,,10,20,2220,,7.8,,25,,2294,,62.8
S1,C1,,C1,0.68,3.4,100,,20,20,2360,,7.8,,,,,,27.7
S1,,,,0.41,1.7,30,,20,20,2380,2600,3.8,0.7,,,2366,,49.9
S2,C2,,C2,0.64,6.59,100,,,,2445,2670,4.2,1.1,,,,,38.64
S1,,,,0.57,2.9,100,,20,32,2330,,6.3,,,,,,43.3
C1,C1,B2,C1,0.31,2.1,100,,10,20,2360,,4.7,,15.1,,2341,,60.1
S2,,,,0.36,2.9,100,42.7,25,16,2440,,5.6,,,,,,42.6
C2,C2,,C2,0.49,5.1,0,,16,16,2565,,,,,,2550,,40.1
C1,C1,,,0.5,2.5,50,,20,20,,,,,,,,,41.3
S2,B2,,,0.45,4.26,25,,,,2629,2880,7.16,0.5,,,,,44.8
S1,C1,,,0.45,3.1,50,,22,30,2420,2570,8.8,3,,,,,45.8
C2,C2,,C2,0.54,3,100,,20,20,2320,,5.3,,42,31,,,45
S2,,,,0.37,3,100,26.3,25,16,2490,,2.9,,,,,,37.6
C2,,,C1,0.5,3.4,50,,22,22,2380,2670,,,,,,,46.4
C2,C2,,C2,0.67,3.6,0,,20,19,,2540,,1.8,,31,,,37
C1,C1,B1,C1,0.62,3.6,100,,32,20,2489,,2.4,,34,,,,45.7
C1,,,,0.5,,75,,,,2460,2670,5.1,0.5,,,,,27.6
S1,,,,0.57,3,100,,20,32,2330,,6.3,,,,,,46.8
S1,,,,0.41,1.7,15,,20,20,2380,2600,3.8,0.7,,,2380,,55.3
